label,area,perim,circ,intensity,layer
896,45,46.69238815542512,0.25937624786084956,17.133333333333333,l5
897,192,49.21320343559643,0.9962029460913343,103.69791666666667,l5
898,769,146.29646455628165,0.4515112147475773,19.64629388816645,l5
899,61,27.31370849898476,1.0274917859878587,52.47540983606557,l5
900,181,49.21320343559643,0.9391288189715182,22.082872928176794,l5
901,28,16.485281374238568,1.2947179437652616,66.5,l5
902,85,31.556349186104043,1.0726431991352996,63.84705882352941,l5
903,218,55.45584412271571,0.8907825832086316,31.321100917431192,l5
904,138,41.798989873223334,0.9925613895068652,27.840579710144926,l5
905,222,57.4558441227157,0.8450733757837428,26.527027027027028,l5
